#PSR	RA	DEC	IntTime	ExpPrecision
J0030+0451	7.61428258	4.8610309	307.2	0.7156908084734173
J0101-6422	15.29631686167	-64.37504757222	1555.2	0.9137838001044519
J0125-2327	21.25441	-23.45227	307.2	0.20813457185196316
J0437-4715	69.315894532	-47.2523951167	307.2	0.06755244875897048
J0610-2100	92.5566339	-21.0077822	307.2	0.7576828712154798
J0613-0200	93.43323	-2.0131	307.2	0.2583424729566034
J0614-3329	93.5431158	-33.4983661	307.2	0.5249007842757841
J0636-3044	99.2875	-30.845	1468.8	0.9146966710336273
J0711-6830	107.97594058	-68.51322193	307.2	0.7038234863941385
J0900-3144	135.1831402	-31.7419175	307.2	0.5495482993635167
J0931-1902	142.82969	-19.0486	547.1999999999999	0.9146966710336274
J0955-6150	148.83686	-61.83803	326.4	0.9256511221837308
J1012-4235	153.05	-42.5982	307.2	0.7147779375442418
J1017-7156	154.46386835	-71.94490166	307.2	0.11410886614690963
J1022+1001	155.741742	10.0314566	307.2	0.5778472981679503
J1024-0719	156.1612	-7.32199	307.2	0.5796730400263008
J1036-8317	159.169	-83.2989	307.2	0.5477225575051662
J1045-4509	161.45912213	-45.16503952	307.2	0.609797780689085
J1101-6424	165.404968	-64.4109256	1392.0	0.9146966710336274
J1103-5403	165.888725	-54.062013	307.2	0.5678057179470222
J1125-5825	171.4348558312	-58.421355589	307.2	0.49112455989629894
J1125-6014	171.480075	-60.2351689	307.2	0.1305405428720646
J1216-6410	184.030582	-64.169229	307.2	0.25651673109825285
J1231-1411	187.797138	-14.195453	2553.6	0.913783800104452
J1327-0755	201.98995	-7.924944	681.6	0.916522412891978
J1421-4409	215.3373605	-44.1512564	480.0	0.920173896608679
J1431-5740	217.7645644	-57.6699076	345.59999999999997	0.9192610256795036
J1435-6100	218.834459	-61.0160997	307.2	0.7211680340484689
J1446-4701	221.6488081767	-47.024101811	307.2	0.356019662378358
J1455-3330	223.94987567	-33.51288498	576.0	0.9192610256795036
J1514-4946	228.5796427	-49.7709795	393.59999999999997	0.9183481547503285
J1525-5545	231.367225	-55.763845	844.8	0.9174352838211531
J1543-5149	235.93396	-51.831858	307.2	0.8909620268750702
J1545-4550	236.48310705	-45.8437599	307.2	0.29211869733608864
J1547-5709	236.85052	-57.1548805	739.1999999999999	0.9165224128919781
J1600-3053	240.21627	-30.89704	307.2	0.11684747893443546
J1603-7202	240.89866466	-72.04241679	307.2	0.48747307617959784
J1614-2230	243.65211392	-22.5086863	307.2	0.23369495786887093
J1629-6902	247.2865442	-69.045915	307.2	0.3870572739703174
J1643-1224	250.91	-12.4163	307.2	0.2692969241067067
J1652-4838	253.0	-48.6	1036.8	0.9165224128919781
J1653-2054	253.37929	-20.91531	1603.2	0.9146966710336276
J1658-5324	254.6639318925	-53.40194565	384.0	0.9146966710336275
J1705-1903	256.43271	-19.06148	307.2	0.17161973468495204
J1708-3506	257.0734259846	-35.106293383	1315.2	0.9156095419628024
J1713+0747	258.45639	7.79375	307.2	0.08854848013000187
J1719-1438	259.7919706	-14.6335951	825.6	0.9165224128919781
J1721-2457	260.2729079	-24.951714	2169.6	0.913783800104452
J1730-2304	262.5902557	-23.075333	307.2	0.4409166587916587
J1731-1847	262.82337796	-18.7923888	307.2	0.8635758989998119
J1732-5049	263.19902804	-50.8167113	307.2	0.6600056817937252
J1737-0811	264.4463015	-8.1858019	1075.2	0.9146966710336273
J1744-1134	266.123	-11.5819	307.2	0.11410886614690963
