#PSR	RA	DEC	IntTime	ExpPrecision
J0030+0451	7.61428258	4.8610309	512.0	0.5543717164502532
J0101-6422	15.29631686167	-64.37504757222	2592.0	0.7078138879677339
J0125-2327	21.25441	-23.45227	512.0	0.16122034611053282
J0437-4715	69.315894532	-47.2523951167	512.0	0.052325901807804505
J0610-2100	92.5566339	-21.0077822	512.0	0.5868986283848343
J0613-0200	93.43323	-2.0131	512.0	0.20011121907579293
J0614-3329	93.5431158	-33.4983661	512.0	0.40658639918226475
J0636-3044	99.2875	-30.845	2448.0	0.7085209947489205
J0711-6830	107.97594058	-68.51322193	512.0	0.5451793282948281
J0900-3144	135.1831402	-31.7419175	512.0	0.42567828227430154
J0931-1902	142.82969	-19.0486	912.0	0.7085209947489206
J0955-6150	148.83686	-61.83803	544.0	0.7170062761231591
J1012-4235	153.05	-42.5982	512.0	0.5536646096690666
J1017-7156	154.46386835	-71.94490166	512.0	0.08838834764831843
J1022+1001	155.741742	10.0314566	512.0	0.4475985924910846
J1024-0719	156.1612	-7.32199	512.0	0.4490128060534576
J1036-8317	159.169	-83.2989	512.0	0.42426406871192845
J1045-4509	161.45912213	-45.16503952	512.0	0.47234732983261374
J1101-6424	165.404968	-64.4109256	2320.0	0.7085209947489206
J1103-5403	165.888725	-54.062013	512.0	0.4398204178980325
J1125-5825	171.4348558312	-58.421355589	512.0	0.38042344827836255
J1125-6014	171.480075	-60.2351689	512.0	0.10111626970967627
J1216-6410	184.030582	-64.169229	512.0	0.19869700551341987
J1231-1411	187.797138	-14.195453	4256.0	0.707813887967734
J1327-0755	201.98995	-7.924944	1136.0	0.7099352083112936
J1421-4409	215.3373605	-44.1512564	800.0	0.7127636354360398
J1431-5740	217.7645644	-57.6699076	576.0	0.7120565286548532
J1435-6100	218.834459	-61.0160997	512.0	0.5586143571373725
J1446-4701	221.6488081767	-47.024101811	512.0	0.2757716446627535
J1455-3330	223.94987567	-33.51288498	960.0	0.7120565286548531
J1514-4946	228.5796427	-49.7709795	656.0	0.7113494218736669
J1525-5545	231.367225	-55.763845	1408.0	0.7106423150924801
J1543-5149	235.93396	-51.831858	512.0	0.6901362184380703
J1545-4550	236.48310705	-45.8437599	512.0	0.2262741699796952
J1547-5709	236.85052	-57.1548805	1232.0	0.7099352083112939
J1600-3053	240.21627	-30.89704	512.0	0.0905096679918781
J1603-7202	240.89866466	-72.04241679	512.0	0.3775950211536164
J1614-2230	243.65211392	-22.5086863	512.0	0.1810193359837562
J1629-6902	247.2865442	-69.045915	512.0	0.2998132752230961
J1643-1224	250.91	-12.4163	512.0	0.2085965004500315
J1652-4838	253.0	-48.6	1728.0	0.7099352083112938
J1653-2054	253.37929	-20.91531	2672.0	0.7085209947489206
J1658-5324	254.6639318925	-53.40194565	640.0	0.7085209947489205
J1705-1903	256.43271	-19.06148	512.0	0.13293607486307094
J1708-3506	257.0734259846	-35.106293383	2192.0	0.709228101530107
J1713+0747	258.45639	7.79375	512.0	0.0685893577750951
