#PSR	RA	DEC	IntTime	ExpPrecision
J0030+0451	7.61428258	4.8610309	435.2	0.6013005512563385
J0101-6422	15.29631686167	-64.37504757222	2203.2	0.7677319538362177
J0125-2327	21.25441	-23.45227	435.2	0.1748680174572005
J0437-4715	69.315894532	-47.2523951167	435.2	0.05675540917470541
J0610-2100	92.5566339	-21.0077822	435.2	0.6365809407433174
J0613-0200	93.43323	-2.0131	435.2	0.21705109184380583
J0614-3329	93.5431158	-33.4983661	435.2	0.4410048685872379
J0636-3044	99.2875	-30.845	2080.7999999999997	0.768498918825065
J0711-6830	107.97594058	-68.51322193	435.2	0.5913300064013226
J0900-3144	135.1831402	-31.7419175	435.2	0.46171292328611696
J0931-1902	142.82969	-19.0486	775.1999999999999	0.7684989188250652
J0955-6150	148.83686	-61.83803	462.4	0.7777024986912336
J1012-4235	153.05	-42.5982	435.2	0.600533586267491
J1017-7156	154.46386835	-71.94490166	435.2	0.0958706236059213
J1022+1001	155.741742	10.0314566	435.2	0.48548883794038555
J1024-0719	156.1612	-7.32199	435.2	0.48702276791808025
J1036-8317	159.169	-83.2989	435.2	0.46017899330842227
J1045-4509	161.45912213	-45.16503952	435.2	0.5123326125500435
J1101-6424	165.404968	-64.4109256	1972.0	0.768498918825065
J1103-5403	165.888725	-54.062013	435.2	0.47705222306306433
J1125-5825	171.4348558312	-58.421355589	435.2	0.4126271639998853
J1125-6014	171.480075	-60.2351689	435.2	0.10967599340517395
J1216-6410	184.030582	-64.169229	435.2	0.21551716186611114
J1231-1411	187.797138	-14.195453	3617.6	0.7677319538362177
J1327-0755	201.98995	-7.924944	965.6	0.7700328488027599
J1421-4409	215.3373605	-44.1512564	680.0	0.7731007087581493
J1431-5740	217.7645644	-57.6699076	489.59999999999997	0.772333743769302
J1435-6100	218.834459	-61.0160997	435.2	0.6059023411894227
J1446-4701	221.6488081767	-47.024101811	435.2	0.29911634565047446
J1455-3330	223.94987567	-33.51288498	816.0	0.7723337437693019
J1514-4946	228.5796427	-49.7709795	557.6	0.7715667787804547
J1525-5545	231.367225	-55.763845	1196.8	0.7707998137916071
