#PSR	RA	DEC	IntTime	ExpPrecision
J0030+0451	7.61428258	4.8610309	384.0	0.6401333194473374
J0101-6422	15.29631686167	-64.37504757222	1944.0	0.8173130775086537
J0125-2327	21.25441	-23.45227	384.0	0.18616122045152156
J0437-4715	69.315894532	-47.2523951167	384.0	0.06042074698865173
J0610-2100	92.5566339	-21.0077822	384.0	0.6776921621700126
J0613-0200	93.43323	-2.0131	384.0	0.23106853240254646
J0614-3329	93.5431158	-33.4983661	384.0	0.4694855340334424
J0636-3044	99.2875	-30.845	1836.0	0.8181295740895813
J0711-6830	107.97594058	-68.51322193	384.0	0.6295188638952769
J0900-3144	135.1831402	-31.7419175	384.0	0.49153094171849104
J0931-1902	142.82969	-19.0486	684.0	0.8181295740895814
J0955-6150	148.83686	-61.83803	408.0	0.8279275330607142
J1012-4235	153.05	-42.5982	384.0	0.6393168228664095
J1017-7156	154.46386835	-71.94490166	384.0	0.10206207261596577
J1022+1001	155.741742	10.0314566	384.0	0.5168423357272507
J1024-0719	156.1612	-7.32199	384.0	0.518475328889106
J1036-8317	159.169	-83.2989	384.0	0.4898979485566357
J1045-4509	161.45912213	-45.16503952	384.0	0.5454197160597211
J1101-6424	165.404968	-64.4109256	1740.0	0.8181295740895814
J1103-5403	165.888725	-54.062013	384.0	0.5078608733370457
J1125-5825	171.4348558312	-58.421355589	384.0	0.43927516053911664
J1125-6014	171.480075	-60.2351689	384.0	0.11675901107266481
J1216-6410	184.030582	-64.169229	384.0	0.22943553924069107
J1231-1411	187.797138	-14.195453	3192.0	0.8173130775086536
J1327-0755	201.98995	-7.924944	852.0	0.8197625672514369
J1421-4409	215.3373605	-44.1512564	600.0	0.8230285535751477
J1431-5740	217.7645644	-57.6699076	432.0	0.82221205699422
J1435-6100	218.834459	-61.0160997	384.0	0.6450322989329036
J1446-4701	221.6488081767	-47.024101811	384.0	0.31843366656181316
J1455-3330	223.94987567	-33.51288498	720.0	0.82221205699422
J1514-4946	228.5796427	-49.7709795	492.0	0.8213955604132924
J1525-5545	231.367225	-55.763845	1056.0	0.8205790638323645
J1543-5149	235.93396	-51.831858	384.0	0.7969006629854606
J1545-4550	236.48310705	-45.8437599	384.0	0.2612789058968724
J1547-5709	236.85052	-57.1548805	924.0	0.819762567251437
J1600-3053	240.21627	-30.89704	384.0	0.10451156235874895
J1603-7202	240.89866466	-72.04241679	384.0	0.43600917421540575
J1614-2230	243.65211392	-22.5086863	384.0	0.2090231247174979
J1629-6902	247.2865442	-69.045915	384.0	0.3461945503133559
J1643-1224	250.91	-12.4163	384.0	0.24086649137367916
J1652-4838	253.0	-48.6	1296.0	0.819762567251437
J1653-2054	253.37929	-20.91531	2004.0	0.8181295740895815
J1658-5324	254.6639318925	-53.40194565	480.0	0.8181295740895814
J1705-1903	256.43271	-19.06148	384.0	0.15350135721441252
J1708-3506	257.0734259846	-35.106293383	1644.0	0.818946070670509
J1713+0747	258.45639	7.79375	384.0	0.07920016834998943
J1719-1438	259.7919706	-14.6335951	1032.0	0.819762567251437
J1721-2457	260.2729079	-24.951714	2712.0	0.8173130775086537
J1730-2304	262.5902557	-23.075333	384.0	0.3943678485880917
J1731-1847	262.82337796	-18.7923888	384.0	0.7724057655576289
J1732-5049	263.19902804	-50.8167113	384.0	0.5903270280107459
J1737-0811	264.4463015	-8.1858019	1344.0	0.8181295740895813
J1744-1134	266.123	-11.5819	384.0	0.10206207261596577
J1747-4036	266.95298707333	-40.61521469444	384.0	0.5290897844411665
J1751-2857	267.88622165	-28.9629222	804.0	0.8173130775086536
J1756-2251	269.1943068	-22.866519	948.0	0.8164965809277261
J1757-5322	269.3131643	-53.3740078	384.0	0.7283149501875318
